Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
67af01d8-ae6f-4ae9-b554-391cf7dc90a3,2023-07-14 11:29:18,Walking,,2.04,15:42,7:41,7.80,161.0,18,,"","",2023-07-14-112918.gpx
8ca12261-6cb5-4b01-b927-c50e93bd7b5d,2023-07-14 10:53:34,Running,,5.04,27:22,5:26,11.05,433.0,95,,"","",2023-07-14-105334.gpx
d0ed54dc-c531-4125-a50e-fa42b93925f2,2023-07-13 16:26:07,Walking,,2.05,16:16,7:55,7.57,159.0,18,,"","",2023-07-13-162607.gpx
3614cb56-fa99-44e3-ab31-98b832024bcd,2023-07-13 08:07:16,Running,,7.92,43:04,5:26,11.04,670.0,111,,"","",2023-07-13-080716.gpx
60c21552-94da-4878-bc38-1de50788fcff,2023-07-12 11:16:25,Walking,,1.66,11:54,7:10,8.38,135.0,15,,"","",2023-07-12-111625.gpx
9401fddb-f7be-4aa8-9409-2fcf5278609d,2023-07-12 10:40:01,Running,,5.21,27:51,5:21,11.23,450.0,99,,"","",2023-07-12-104001.gpx
dd69ccc3-5389-4df5-af98-1c3fb91b5d4d,2023-07-11 15:07:26,Running,,5.22,27:59,5:22,11.19,450.0,100,,"","",2023-07-11-150726.gpx
325ace2c-eedc-44d9-a0f1-73e31a27f9dc,2023-07-11 11:17:53,Walking,,1.46,13:30,9:16,6.47,115.0,14,,"","",2023-07-11-111753.gpx
c8491b24-810a-4342-aaa3-a990bef74168,2023-07-10 15:59:17,Walking,,2.04,20:11,9:54,6.06,154.0,18,,"","",2023-07-10-155917.gpx
4d123057-2c53-4393-a7d5-b0a29c813f0c,2023-07-10 11:00:42,Running,,5.05,27:21,5:25,11.07,435.0,96,,"","",2023-07-10-110042.gpx
0670f70c-7880-4345-a347-50ec3a3b1a73,2023-07-09 10:34:34,Walking,,2.07,18:28,8:56,6.72,163.0,18,,"","",2023-07-09-103434.gpx
897473aa-7ba3-4c37-b083-18b059112bff,2023-07-09 08:53:30,Running,,9.00,47:25,5:16,11.38,773.0,165,,"","",2023-07-09-085330.gpx
2bef722d-8a1c-406a-b3a4-95e82dfd8efb,2023-07-08 09:20:24,Running,,1.30,8:24,6:28,9.27,124.0,61,,"","",2023-07-08-092024.gpx
d7068031-1981-463f-9c32-d4d105249891,2023-07-06 16:51:16,Running,,5.00,27:48,5:34,10.79,431.0,94,,"","",2023-07-06-165116.gpx
bdedbeb2-3b86-4e03-bc62-b3180b235581,2023-07-06 14:08:20,Walking,,1.22,10:14,8:24,7.14,98.0,13,,"","",2023-07-06-140820.gpx
1c67bca7-fc84-4534-b31a-698a6b6ee878,2023-07-05 15:50:51,Walking,,2.06,17:03,8:16,7.26,159.0,19,,"","",2023-07-05-155051.gpx
99853bcf-8b9f-4220-8497-6e9a9e8f12d2,2023-07-05 11:03:02,Running,,5.00,27:39,5:32,10.85,430.0,92,,"","",2023-07-05-110302.gpx
6f6874ed-a198-4c39-8f6e-31a1c5ed0f5a,2023-07-03 17:09:57,Walking,,1.75,18:52,10:49,5.55,127.0,15,,"","",2023-07-03-170957.gpx
a2a66cb8-7af6-4f5e-b509-687c32d1df27,2023-07-02 07:00:07,Running,,18.62,4:19:04,13:55,4.31,1819.0,1760,,"","",2023-07-02-070007.gpx
161fb331-eae0-4fda-a9a5-8cc1197a4923,2023-07-01 09:51:38,Running,,3.01,12:31,4:10,14.41,255.0,54,,"","",2023-07-01-095138.gpx
2230d63f-ba06-4373-8416-10c3f1730f1a,2023-07-01 09:39:25,Running,,2.02,9:52,4:53,12.29,170.0,37,,"","",2023-07-01-093925.gpx
6efa7d1c-9f3c-4db4-9f8b-bb31cb3c3c83,2023-06-30 11:58:12,Running,,3.44,18:55,5:30,10.91,294.0,57,,"","",2023-06-30-115812.gpx
b9a62709-8c47-4ee9-bf02-4133bb3377e7,2023-06-30 11:42:15,Walking,,1.69,12:35,7:27,8.05,134.0,15,,"","",2023-06-30-114215.gpx
f8fa88b5-b7f2-48f1-a920-ef2eaa747a54,2023-06-29 16:38:03,Walking,,2.06,16:17,7:54,7.60,163.0,18,,"","",2023-06-29-163803.gpx
348ee80b-b8bb-477a-91db-b11e12a147e8,2023-06-29 06:45:56,Running,,9.04,47:51,5:18,11.33,776.0,165,,"","",2023-06-29-064556.gpx
